game_id,season,week,game_type,team,opponent,team_score,opp_score,win,tie,giveaways,off_third_down_pct,takeaways,opp_third_down_pct,turnover_margin
2023_04_SEA_NYG,2023,4,REG,NYG,SEA,3.0,24.0,0,0,3.0,0.375,0.0,0.25,-3.0
2023_05_CHI_WAS,2023,5,REG,WAS,CHI,20.0,40.0,0,0,2.0,0.5,0.0,0.4666666666666667,-2.0
2023_05_JAX_BUF,2023,5,REG,BUF,JAX,20.0,25.0,0,0,2.0,0.4166666666666667,2.0,0.5555555555555556,0.0
2023_05_HOU_ATL,2023,5,REG,ATL,HOU,21.0,19.0,1,0,2.0,0.5,0.0,0.3076923076923077,-2.0
2023_05_CAR_DET,2023,5,REG,DET,CAR,42.0,24.0,1,0,0.0,0.4,3.0,0.5,3.0
2023_05_TEN_IND,2023,5,REG,IND,TEN,23.0,16.0,1,0,0.0,0.6153846153846154,1.0,0.4166666666666667,1.0
2023_05_NYG_MIA,2023,5,REG,MIA,NYG,31.0,16.0,1,0,3.0,0.375,0.0,0.29411764705882354,-3.0
2023_05_NO_NE,2023,5,REG,NE,NO,0.0,34.0,0,0,3.0,0.07142857142857142,0.0,0.3333333333333333,-3.0
2023_05_BAL_PIT,2023,5,REG,PIT,BAL,17.0,10.0,1,0,0.0,0.4,4.0,0.35714285714285715,4.0
2023_05_CIN_ARI,2023,5,REG,ARI,CIN,20.0,34.0,0,0,3.0,0.36363636363636365,1.0,0.35714285714285715,-2.0
2023_05_PHI_LA,2023,5,REG,LA,PHI,14.0,23.0,0,0,0.0,0.42857142857142855,1.0,0.7222222222222222,1.0
2023_05_NYJ_DEN,2023,5,REG,DEN,NYJ,21.0,31.0,0,0,3.0,0.4,2.0,0.25,-1.0
2023_05_KC_MIN,2023,5,REG,MIN,KC,20.0,27.0,0,0,1.0,0.42857142857142855,0.0,0.6,-1.0
2023_05_DAL_SF,2023,5,REG,SF,DAL,42.0,10.0,1,0,1.0,0.5454545454545454,4.0,0.36363636363636365,3.0
2023_05_GB_LV,2023,5,REG,LV,GB,17.0,13.0,1,0,1.0,0.38461538461538464,3.0,0.3333333333333333,2.0
2023_06_DEN_KC,2023,6,REG,KC,DEN,19.0,8.0,1,0,1.0,0.3076923076923077,3.0,0.4,2.0
2023_06_BAL_TEN,2023,6,REG,TEN,BAL,16.0,24.0,0,0,1.0,0.1111111111111111,2.0,0.5,1.0
2023_06_WAS_ATL,2023,6,REG,ATL,WAS,16.0,24.0,0,0,3.0,0.3333333333333333,0.0,0.2,-3.0
2023_06_MIN_CHI,2023,6,REG,CHI,MIN,13.0,19.0,0,0,3.0,0.42857142857142855,1.0,0.15384615384615385,-2.0
2023_06_SEA_CIN,2023,6,REG,CIN,SEA,17.0,13.0,1,0,1.0,0.2727272727272727,2.0,0.4166666666666667,1.0
2023_06_SF_CLE,2023,6,REG,CLE,SF,19.0,17.0,1,0,2.0,0.23076923076923078,1.0,0.25,-1.0
2023_06_NO_HOU,2023,6,REG,HOU,NO,20.0,13.0,1,0,2.0,0.36363636363636365,1.0,0.4,-1.0
2023_06_IND_JAX,2023,6,REG,JAX,IND,37.0,20.0,1,0,1.0,0.2857142857142857,4.0,0.35294117647058826,3.0
2023_06_CAR_MIA,2023,6,REG,MIA,CAR,42.0,21.0,1,0,1.0,0.5384615384615384,0.0,0.35714285714285715,-1.0
2023_06_NE_LV,2023,6,REG,LV,NE,21.0,17.0,1,0,1.0,0.5,1.0,0.5,0.0
